child_id,tag,view,image_name,shoulder_width_ref,total_arm_area,left_arm_area,right_arm_area,left_arm_width,right_arm_width,left_arm_height,right_arm_height,left_arm_aspect_ratio,right_arm_aspect_ratio,total_arm_area_norm,left_arm_area_norm,right_arm_area_norm,left_arm_width_norm,right_arm_width_norm,left_arm_height_norm,right_arm_height_norm,num_arms_detected
1741,IMG_20240102_112116_1741,frontal1,IMG_20240102_112116_1741_frontal1.jpg,468.25803573706736,1732.0,681.0,1051.0,16.0,21.0,59.0,66.0,3.6875,3.142857142857143,0.00789909632214869,0.0031058225146554604,0.004793273807493229,0.03416919471507841,0.04484706806354041,0.12599890551185164,0.14094792819969845,2
1742,IMG_20240102_112815_1742,frontal1,IMG_20240102_112815_1742_frontal1.jpg,358.0533303868305,944.0,173.0,771.0,10.0,22.0,28.0,51.0,2.8,2.3181818181818183,0.007363368902954416,0.0013494309536134681,0.0060139379493409474,0.02792880040857681,0.06144336089886899,0.07820064114401508,0.14243688208374175,2
1743,IMG_20240102_114435_1743,frontal1,IMG_20240102_114435_1743_frontal1.jpg,379.2608987683642,1211.0,524.0,687.0,15.0,34.0,47.0,35.0,3.1333333333333333,1.0294117647058822,0.008419145272540143,0.0036429662450958174,0.004776179027444326,0.03955061027570189,0.08964804995825762,0.1239252455305326,0.09228475730997109,2
1744,IMG_20240102_115625_1744,frontal1,IMG_20240102_115625_1744_frontal1.jpg,577.8704426145881,2442.0,1373.0,1069.0,30.0,23.0,68.0,71.0,2.2666666666666666,3.0869565217391304,0.007312816853475088,0.004111587854144675,0.003201228999330413,0.05191475076016055,0.03980130891612309,0.1176734350563639,0.12286491013237996,2
1745,IMG_20240102_120159_1745,frontal1,IMG_20240102_120159_1745_frontal1.jpg,431.5319914019688,1417.0,552.0,865.0,17.0,23.0,48.0,55.0,2.823529411764706,2.391304347826087,0.007609285083869311,0.0029642380848947493,0.004645046998974562,0.039394530043462356,0.053298481823507896,0.1112316142403643,0.1274528913170841,2
1746,IMG_20240102_121605_1746,frontal1,IMG_20240102_121605_1746_frontal1.jpg,464.1263564162493,947.0,428.0,519.0,14.0,13.0,44.0,53.0,3.142857142857143,4.076923076923077,0.00439620075053385,0.0019868784807059005,0.0024093222698279497,0.030164199482444764,0.02800961380512728,0.09480176980196925,0.1141930408978266,2
1747,IMG_20240102_122259_1747,frontal1,IMG_20240102_122259_1747_frontal1.jpg,587.2553757039536,2370.0,1109.0,1261.0,20.0,20.0,73.0,79.0,3.65,3.95,0.006872177116920039,0.003215714946271866,0.0036564621706481728,0.03405673379494507,0.03405673379494507,0.1243070783515495,0.13452409849003302,2
1748,IMG_20240102_122748_1748,frontal1,IMG_20240102_122748_1748_frontal1.jpg,358.4055870728241,654.0,285.0,369.0,14.0,15.0,32.0,35.0,2.2857142857142856,2.3333333333333335,0.00509129434823177,0.0022186833168899916,0.0028726110313417787,0.039061891066880475,0.041852026143086224,0.08928432243858393,0.09765472766720118,2
1749,IMG_20240102_124232_1749,frontal1,IMG_20240102_124232_1749_frontal1.jpg,516.5615288479149,2562.0,1202.0,1360.0,24.0,26.0,68.0,75.0,2.8333333333333335,2.8846153846153846,0.009601409834658157,0.004504642709312686,0.0050967671253454696,0.046461067384416146,0.05033282299978416,0.1316396909225124,0.14519083557630044,2
1750,IMG_20240102_130531_1750,frontal1,IMG_20240102_130531_1750_frontal1.jpg,470.0516572008491,1939.0,653.0,1286.0,17.0,34.0,56.0,68.0,3.2941176470588234,2.0,0.008775798295144601,0.0029554390338986203,0.005820359261245981,0.03616623777317318,0.07233247554634636,0.11913584207633518,0.14466495109269273,2
1751,IMG_20240102_131726_1751,frontal1,IMG_20240102_131726_1751_frontal1.jpg,384.6773219655197,987.0,289.0,698.0,10.0,23.0,36.0,50.0,3.6,2.1739130434782608,0.006669971601122415,0.0019530109348777891,0.0047169606662446255,0.02599581370927903,0.059790371531341764,0.09358492935340451,0.12997906854639515,2
1752,IMG_20240102_145745_1752,frontal1,IMG_20240102_145745_1752_frontal1.jpg,411.8346229531751,1188.0,465.0,723.0,15.0,23.0,47.0,52.0,3.1333333333333333,2.260869565217391,0.007004396634763554,0.002741619894920078,0.004262776739843476,0.036422386958236574,0.05584766000262941,0.11412347913580792,0.12626427478855345,2
1753,IMG_20240103_085046_1753,frontal1,IMG_20240103_085046_1753_frontal1.jpg,534.5018322270193,1985.0,834.0,1151.0,17.0,22.0,63.0,75.0,3.7058823529411766,3.409090909090909,0.0069480368728001875,0.002919225567715545,0.004028811305084643,0.03180531660512546,0.041159821488985886,0.1178667615366414,0.14031757325790642,2
1754,IMG_20240103_085117_1754,frontal1,IMG_20240103_085117_1754_frontal1.jpg,487.31005689245535,1251.0,522.0,729.0,14.0,20.0,51.0,55.0,3.642857142857143,2.75,0.005268009642109864,0.002198162296707713,0.003069847345402151,0.028729142364262075,0.04104163194894582,0.10465616146981184,0.112864487859601,2
